,Headline,Description,Category,polarity,subjectivity
10,Govt has no roadmap for implementing 'lockdown': BNP,BNP today claimed that the government does not have any roadmap to implement “complete lockdown” for preventing transmission of Covid-19.,Politics,Positive,0.4
11,Homebound rush causes traffic jam on Aricha-Kazirhat ferry ghat,"People working in different districts are trying to return home, causing traffic jam on the Aricha-Kazirhat ferry ghat on the Jamuna river over the last couple of days.",Bangladesh,Neutral,0.3333333333333333
12,SCBA President Abdul Matin Khasru on life support,"Awami League lawmaker and Supreme Court Bar Association (SCBA) President Abdul Matin Khasru, who was diagnosed with Covid-19, has been put on life support at Combined Military Hospital in Dhaka.",Coronavirus: A deadly threat,Negative,0.1
13,Need at least 6 months to fix everything in Brahmanbaria: railways minister,"Railways Minister Nurul Islam Sujan today said it would take at least five to six months to fix everything, including Brahmanbaria Railway Station, damaged during the mayhem by Hefajat-e-Islam supporters and activists last month.",Bangladesh,Negative,0.23333333333333334
14,Global peace more challenging during pandemic: PM,Prime Minister Sheikh Hasina today said ensuring global peace has become far more challenging than in the past due to the Covid-19 pandemic.,Bangladesh,Positive,0.5208333333333334
15,Won't tolerate closing Qawmi madrasas in the name of lockdown: Babunagari,Qawmi madrasa-based organisation Hefajat-e-Islam announced today that it will convene Ulama-Mashayek conference on May 29 at Hathazari upazila of Chattogram.,Bangladesh,Neutral,0.0
16,"Khaleda Zia tested positive for Covid-19, condition stable: Fakhrul",BNP Chairperson Khaleda Zia has tested positive for coronavirus.,Bangladesh,Positive,0.5454545454545454
17,CAAB mulls suspension of international flights from Dhaka amid strict lockdown,"Civil Aviation Authority of Bangladesh said they are planning to suspend regular flight operations on international routes from Dhaka amid countrywide full lockdown, slated to begin from April 14, to curb spread of Covid-19.",Travel,Positive,0.20897435897435898
18,6 Bangladeshi-American orgs urge US state department to declare Hefajat a terrorist outfit,Six Bangladeshi American organisations urged US Department of State to declare Hefajat-e-Islam Bangladesh a terrorist outfit and to ban the organisation immediately.,Bangladesh,Neutral,0.0
19,Foreign Minister Momen assumes chair of D-8 Council of Ministers,Turkish Foreign Minister Mevlut Cavusoglu has handed over the chairmanship of D-8 Council of Foreign Ministers to his Bangladesh counterpart Dr AK Abdul Momen.,Bangladesh,Negative,0.125
20,Hefajat mayhem in Brahmanbaria: 45 cases filed so far,A total of 45 cases have been registered in various police stations in Brahmanbaria till tonight in connection with the mayhem Hefajat-e-Islam men unleashed in the district from March 26 to March 28.,Bangladesh,Neutral,0.625
21,Restriction on ride-sharing: bikers block road near DMP headquarters,"Motorcyclists operating their vehicles under ride-sharing services demonstrated in front of Jatiya Press Club in Dhaka this morning, protesting cases filed against them for operating amid the government's weeklong restriction on public movement and transports.",Bangladesh,Neutral,0.06666666666666667
22,"Police arrest 9 Jamaat, Hefajat men from secret meeting in Lalmonirhat",Police have arrested nine leaders and activists of Jamaat-e-Islami and Hefajat-e-Islam while they were holding a secret meeting in Kaliganj upazila of Lalmonirhat.,Crime,Negative,0.7
23,PM emphasises establishing peace for development,Prime Minister Sheikh Hasina today said that establishing peace is a prerequisite to ensure development.,Bangladesh,Neutral,0.0
24,"Launch capsize in Shitalakkhya river: 5 bodies recovered, rescue operation underway","The bodies of five women have been recovered so far after a Munshiganj-bound launch, carrying over 50 passengers, capsized in the Shitalakkhya river in Narayanganj this evening.",Bangladesh,Positive,1.0
25,Police forced to open fire to save themselves during Hefajat mayhem: home minister,Home Minister Asaduzzaman Khan Kamal today told the parliament that all those involved in the Hefajat mayhem in different parts of the country from March 26 to 28 have been identified and will be brought to justice.,Bangladesh,Neutral,0.6
26,"CNG-run auto rickshaws, vehicles under ridesharing services can't run during 7-day restrictions","CNG-run auto rickshaws and vehicles operating under ridesharing services will come under the 7-day restrictions imposed by the government, starting tomorrow.",Bangladesh,Neutral,0.1
27,Awami League MP Aslamul Hoque passes away,"Aslamul Hoque, an Awami League lawmaker from Dhaka-14, died at Square Hospitals today. He was 61.",Bangladesh,Neutral,0.0
28,"Amid Covid-19 surge, Sujanagar municipality election being held",Election in Pabna's Sujanagar municipality began this morning amid risk of Covid-19 spread.,Bangladesh,Neutral,0.0
29,Bill to increase number of child daycare centres placed in JS,Child Daycare Centre Bill-2021 was placed in the parliament today to support the children of working women.,Bangladesh,Neutral,0.0
30,Washington DC mayor declares March 26 as 'Bangladesh Day',"The mayor of Washington DC has declared March 26, the Independence Day of Bangladesh, as ""Bangladesh Day.""",Bangladesh,Neutral,0.0
31,Publication of 'Pracheer Periye' announced on Autism Awareness Day,"Autism expert and Shuchona Foundation Chair Saima Wazed Hossain today announced the publication of ""Pracheer Periye,"" the Bangla translation of Dr Stephen Shore's book ""Beyond the Wall: Personal Experiences with Autism and Asperger Syndrome”.",Bangladesh,Neutral,0.3
32,India hopes Bangladesh will address Hefajat's violent protests during recent Modi visit,Indian External Affairs Ministry spokesperson Arindam Bagchi expressed confidence that the Bangladesh government would address the challenges posed by protests of Hefajat-e-Islam during and after the recent visit of Indian Prime Minister Narendra Modi.,Bangladesh,Neutral,0.175
33,"BNP leader Mosharraf, wife hospitalised with Covid-19",BNP Standing Committee member Khandaker Mosharraf Hossain and his wife Bilkis Akhter have been infected with Covid-19.,Coronavirus: A deadly threat,Neutral,0.0
34,EC postpones all elections including first phase of UP polls,The Election Commission today postponed all elections including the first phase of Union Parishad and sixth phase municipality elections due to the ongoing coronavirus pandemic.,Bangladesh,Positive,0.35416666666666663
35,'Why attack state property? Are they against Bangladesh?',"Expressing resentment over destruction carried out by Hefajat-e-Islam in various places including Brahmanbaria and Hathazari, Inspector General of Police (IGP) Benazir Ahmed asked, “Why are state establishments being attacked repeatedly? Are they against the state that is Bangladesh?”",Bangladesh,Positive,0.5
36,"Hefajat mayhem in Brahmanbaria: 11 cases filed so far, 21 arrested",A total of 11 cases have been filed so far in connection with the destruction carried out by Hefajat-e Islam activists in Brahmanbaria over three days till Sunday.,Bangladesh,Positive,0.875
37,Bangladesh govt penalised media that criticised it: US Dept of State,"The US Department of State published the 2020 Country Reports on Human Rights Practices on March 30, 2021. The annual reports are qualitative observations regarding human rights practices for most countries in the world.",Bangladesh,Positive,0.2333333333333333
38,"Coronavirus pandemic: 3,000 female migrant returnees to get financial support","At least 3,000 female migrants who came home amid the coronavirus pandemic will receive special financial support from the government, Expatriates' Welfare Minister Imran Ahmad said today.",Bangladesh,Positive,0.2845238095238095
39,BIWTA proposes 60% hike in launch fare,Bangladesh Inland Water Transport Authority (BIWTA) has proposed 60 percent hike in launch fare on condition that they will carry 50 percent passengers of their capacity and will follow health safety guidelines.,Bangladesh,Neutral,0.0
40,12th parliament session may have only 3 sittings,"The 12th session of the current parliament may only have three sittings (working day) considering the deteriorating scenario of Covid-19 pandemic throughout the country and globally, sources at the Parliament Secretariat said today.",Bangladesh,Neutral,0.4666666666666666
41,World seeing Bangladesh in a new light: foreign minister,Foreign Minister Dr AK Abdul Momen today said it is evident that the world has started seeing Bangladesh in a new light.,Bangladesh,Positive,0.38238636363636364
42,Names of Hefajat leaders not mentioned in cases will come up in investigation: IGP,"Leaders of Hefajat-e-Islam were not sued immediately after the spree of attacks to avoid any sort of controversy, Inspector General of Police Benazir Ahmed said today.",Bangladesh,Positive,0.5
43,Hefajat mayhem in Chattogram: at least 1500 sued in 6 cases,"At least 1,500 unidentified persons were sued in six cases filed with Hathazari Police Station in connection with the clash between police and Hefajat-e-Islam activists, during anti-Modi protest in Chattogram.",Bangladesh,Negative,0.4
44,"Like BNP-Jamaat, will resist Hefajat too: Hanif","Hefajat-e-Islam will be resisted the same way BNP-Jamaat was in 2013, Awami League Joint General Secretary Mahbubul Alam Hanif said today.",Bangladesh,Positive,0.3125
45,Resist Hefajat's destructive attempts with an iron hand: eminent citizens urge,Eleven distinguished personalities today issued a statement urging the government and people of Bangladesh to boldly resist the destructive attempts and activities by Hefajat-e-Islam and anti-liberation forces as the nation celebrates Mujib Borsho and golden jubilee of Bangladesh's independence.,Bangladesh,Positive,0.5888888888888889
46,Language Movement hero Yusuf Kalu passes away,Language Movement veteran and journalist Yusuf Kalu passed away at a hospital in Barishal yesterday due to old age complications. He was 91.,Bangladesh,Negative,0.19166666666666665
47,Trail of destruction: Hefajat mayhem in Brahmanbaria,"A trail of damage could be seen everywhere in Brahmanbaria, resulting from the mayhem centring the daylong hartal called by Hefajat-e-Islam.",Bangladesh,Neutral,0.0
48,"Rail communication with Chattogram, Sylhet, Noakhali resumes after 12 hours","Rail communication on Dhaka-Chattogram, Dhaka-Sylhet, and Dhaka-Noakhali routes resumed 12 hours after suspension yesterday.",Bangladesh,Neutral,0.0
49,No fireworks on Shab-e-Barat: DMP,"Dhaka Metropolitan Police (DMP) today imposed a ban on carrying all types of explosives and crackers, as well as explosion of firecrackers, in the capital on the occasion of the holy Shab-e-Barat, to be observed tomorrow night.",Top News,Neutral,0.0
50,"Violence, clashes and fires mark Hefajat's day-long hartal","The nationwide dawn-to-dusk hartal, enforced by Hefajat-e-Islam today, was marked with sporadic incidents of clashes, vandalism, arson attacks and roads blockades in different parts of the country.",Bangladesh,Positive,0.6
51,None involved in mayhem will be spared: Home minister,Home Minister Asaduzzaman Khan Kamal has warned that no one involved in mayhem across the country will be spared.,Bangladesh,Neutral,0.0
52,50 injured in Kishoreganj clashes during Hefajat hartal,"Around 50 people, including 10 policemen, were injured in separate clashes in Kishoreganj town during the dawn-to-dusk hartal enforced by Hefajat-e Islam today.",Country,Neutral,0.0
53,Hefajat to hold nationwide demo on April 2,"Hefajat-e-Islam today announced to hold nationwide demonstration on April 2, protesting deaths of its activists during clashes with law enforcers over three days.",Bangladesh,Neutral,0.0
54,3 killed in Hefajat-police clashes in Brahmanbaria,Three people were killed in two separate clashes between Hefajat-e-Islam activists and police in Sarail upazila and Brahmanbaria district town today.,Bangladesh,Negative,0.0
55,Hefajat activists attack train in Brahmanbaria; 10 passengers injured,At least 10 passengers were injured when Hefajat activists attacked a Chattogram-bound train from Dhaka –- Sonar Bangla Express -- at Dakshin Poirotola in Brahmanbaria around 10:00am today.,Bangladesh,Negative,0.4
56,15 policemen injured as Hefajat activists attack police camp in Brahmanbaria's Sarail,"Fifteen police personnel were injured in an attack on a police camp by Hefajat-e Islam activists in Brahmanbaria's Sarail upazila last night, police said.",Bangladesh,Neutral,0.06666666666666667
57,"Highway blockade, torching buses, clashes and processions mark Hefajat hartal","The nationwide dawn-to-dusk hartal called by Hefajat-e-Islam is underway with incidents of clashes, processions, BGB firing, roads blockade and torching of vehicles.",Bangladesh,Neutral,0.0
58,Modi pays tributes to Bangabandhu at Tungipara,"Visiting Indian Prime Minister Narendra Modi today paid tributes to Father of the Nation Bangabandhu Sheikh Mujibur Rahman at Tungipara in Gopalganj, marking the birth centenary of Bangabandhu and the Golden Jubilee of Independence.",Bangladesh,Positive,0.5
59,"Both India, Bangladesh want stability, peace across the world: Modi","Indian Prime Minister Narendra Modi today said both India and Bangladesh want to see stability, love, and peace in the world instead of instability, terror and unrest.",Bangladesh,Positive,0.6
60,"Hasina-Modi talks: Focus to be on connectivity, trade, health","Prime Minister Sheikh Hasina and her Indian counterpart Narendra Modi are set to have “substantive discussions” with focus on trade, connectivity and Covid-19 cooperation.",World,Neutral,0.0
61,Putin terms Bangabandhu an 'outstanding' political leader,Russian President Vladimir Putin in his congratulatory message marking the 50th anniversary of Bangladesh's independence and the birth centenary of Father of the Nation Bangabandhu Sheikh Mujibur Rahman has termed Bangabandhu an “outstanding” political leader.,Bangladesh,Positive,0.325
62,Erdogan lauds Bangabandhu's struggle for Bangladesh,"Turkish President Recep Tayyip Erdogan today lauded the sacrifices of Father of the Nation Bangabandhu Sheikh Mujibur Rahman, saying Bangabandhu has taken his place among the prominent statesmen of the 20th century with struggles and sacrifices he made for his nation.",Bangladesh,Positive,0.5
63,"Bangladesh, India should boost efforts to fight poverty, terrorism: Modi","Bangladesh and India should boost efforts to fight against poverty and terrorism, said Indian Prime Minister Narendra Modi as he spoke today at the celebrations of Mujib Borsho and golden jubilee of Bangladesh's independence.",Bangladesh,Positive,0.5
64,Families must educate youths on history of Liberation War: expatriates' minister,Expatriates' Welfare Minister Imran Ahmad today said steps have to be taken from the families to tell the young generation about the true history of the country's independence.,Bangladesh,Positive,0.525
65,Will do my best to ink Teesta treaty with Bangladesh: Modi,Indian Prime Minister Narendra Modi today said he will do his best to ink a treaty with Bangladesh on water-sharing of Teesta and other common rivers.,Bangladesh,Positive,0.39166666666666666
66,"Both India, Bangladesh want stability, peace across the world: Modi","Indian Prime Minister Narendra Modi today said both India and Bangladesh want to see stability, love, and peace in the world instead of instability, terror and unrest.",Bangladesh,Positive,0.6
67,"Hasina-Modi talks: Focus to be on connectivity, trade, health","Prime Minister Sheikh Hasina and her Indian counterpart Narendra Modi are set to have “substantive discussions” with focus on trade, connectivity and Covid-19 cooperation.",World,Neutral,0.0
68,Putin terms Bangabandhu an 'outstanding' political leader,Russian President Vladimir Putin in his congratulatory message marking the 50th anniversary of Bangladesh's independence and the birth centenary of Father of the Nation Bangabandhu Sheikh Mujibur Rahman has termed Bangabandhu an “outstanding” political leader.,Bangladesh,Positive,0.325
69,Erdogan lauds Bangabandhu's struggle for Bangladesh,"Turkish President Recep Tayyip Erdogan today lauded the sacrifices of Father of the Nation Bangabandhu Sheikh Mujibur Rahman, saying Bangabandhu has taken his place among the prominent statesmen of the 20th century with struggles and sacrifices he made for his nation.",Bangladesh,Positive,0.5
70,"Bangladesh, India should boost efforts to fight poverty, terrorism: Modi","Bangladesh and India should boost efforts to fight against poverty and terrorism, said Indian Prime Minister Narendra Modi as he spoke today at the celebrations of Mujib Borsho and golden jubilee of Bangladesh's independence.",Bangladesh,Positive,0.5
71,Families must educate youths on history of Liberation War: expatriates' minister,Expatriates' Welfare Minister Imran Ahmad today said steps have to be taken from the families to tell the young generation about the true history of the country's independence.,Bangladesh,Positive,0.525
72,Will do my best to ink Teesta treaty with Bangladesh: Modi,Indian Prime Minister Narendra Modi today said he will do his best to ink a treaty with Bangladesh on water-sharing of Teesta and other common rivers.,Bangladesh,Positive,0.39166666666666666
73,"People accomplished the impossible, we only provided policy support: PM","Presenting various statistics of the country's development, Prime Minister Sheikh Hasina today said, “This is the achievement of the people of the country… My government created a congenial environment, giving only policy support. You (people) proved that if people of Bangladesh get favourable environment, they can make the impossible possible.”",Bangladesh,Negative,0.875
74,"Bangladesh at 50 -- booming economy, shrinking rights: AFP report","Bangladesh turns 50 this week as an economic success story but also an increasingly repressive de facto one-party state where a cartoon or Facebook post can land you in jail, or worse.",Bangladesh,Neutral,0.2
75,"Schools, colleges may reopen after Eid-ul-Fitr: Dipu Moni","In-person classes at all schools and colleges across the country may resume after Eid-ul-Fitr if the surge in coronavirus cases continues, Education Minister Dipu Moni said today.",Bangladesh,Neutral,0.0
76,Pope greets Bangladesh on Golden Jubilee of Independence,Pope Francis has offered his heartfelt greetings to Bangladesh leadership and people of the country.,Bangladesh,Neutral,1.0
77,Operation Searchlight opened 'gates of hell': Pakistan army major,"The world history recorded the dark night of March 25, 1971 as a rare case when the Pakistani military launched a sudden brutal assault on unarmed, sleeping Bengali civilians. A Pakistani military officer, in a vivid manner, has described the scene.",World,Negative,0.5357142857142858
78,"Water prices will not rise, Wasa board decides in meeting","Considering the coronavirus situation, the Dhaka Wasa Board has decided not to increase the price of water for now.",Bangladesh,Neutral,0.0
79,German president says vibrant democracy prevails in Bangladesh,German President Frank-Walter Steinmeier today said Bangladesh has undergone an impressive development and vibrant democracy is prevailing in the country with high economic growth.,Bangladesh,Positive,0.41466666666666663
80,"Govt celebrating Golden Jubilee without people, freedom fighters: Fakhrul",BNP Secretary General Mirza Fakhrul Islam Alamgir today alleged that the government is celebrating the Golden Jubilee of Independence keeping people and freedom fighters “away”.,Bangladesh,Positive,0.3666666666666667
81,Bangabandhu's birth centenary: Ajoy Chakrabarty composes new raag 'Maitree',Globally renowned vocalist Pandit Ajoy Chakrabarty composed a new raag named “Maitree” to commemorate the celebrations of Bangabandhu's birth centenary and as an ode to India-Bangladesh friendship.,Bangladesh,Positive,0.22727272727272727
82,Int'l communities' cooperation needed to protect labour rights: Law Minister,"Bangladesh government has decided to work on a 6-year-long action plan to ensure labour rights and safe working spaces, said Law Minister Anisul Huq.",Bangladesh,Positive,0.3
83,Nepal President Devi Bhandari arrives in Dhaka,The red carpet was rolled out as Nepal President Bidya Devi Bhandari arrived in Dhaka this morning on a two-day official visit.,Bangladesh,Neutral,0.0
84,"Int'l Farakka Committee calls on Dhaka, New Delhi to take steps for basin-wide management of rivers","International Farakka Committee (IFC), in a statement recently expressed hope that during the Indian Prime Minister's visit to Bangladesh the two countries will, in light of mutual friendship, take effective steps for basin-wide management of common rivers by keeping them alive from their source to sea.",Bangladesh,Positive,0.44166666666666665
85,Nepalese President Devi Bhandari scheduled to arrive in Dhaka tomorrow,President of Nepal Bidya Devi Bhandari is scheduled to arrive in Dhaka on a two-day state visit tomorrow to attend the ongoing twin mega celebrations and hold talks with Bangladesh leadership to take forward the growing relations.,Bangladesh,Neutral,0.0
86,"10 eminent citizens issue statement urging to resist communal forces, riots","Ten eminent citizens today protested the incident of launching attack, vandalising and looting at least 75 Hindu houses in Sunamganj's Noagaon village over a Facebook post criticising a Hefajat leader's statement.",Bangladesh,Negative,0.2
87,Sri Lanka PM Mahinda Rajapaksa arrives in Dhaka,"Sri Lankan Prime Minister Mahinda Rajapaksa arrived in Dhaka on a two-day official visit, the second of the world leaders to attend the celebrations of the birth centenary of Bangabandhu Sheikh Mujibur Rahman and the Golden Jubilee of Bangladesh's Independence.",Bangladesh,Positive,0.25
88,Living by example since childhood: Sheikh Rehana on Bangabandhu,"On the occasion of the 101st birth anniversary of Father of the Nation Bangabandhu Sheikh Mujibur Rahman, his daughter Sheikh Rehana captured the imagination of children by sharing stories of his childhood in which mischief and prank were pitted against humanity and compassion.",Bangladesh,Neutral,0.0
89,"Bangladesh, Maldives sign four MoUs to boost cooperation",Bangladesh and the Maldives have signed four Memorandum of Understandings (MoUs) to boost cooperation between the two countries in different areas including fisheries and cultural affairs.,Bangladesh,Positive,0.35
90,Bangabandhu built Bangladesh out of love of its people: Justin Trudeau,Canadian Prime Minister Justin Trudeau today said the independent and democratic Bangladesh was built based on Father of the Nation Bangabandhu Sheikh Mujibur Rahman's love for his people.,Bangladesh,Positive,0.3625
91,"Bangabandhu designed Bangladesh flag to resemble Japan's, like we are brothers: Japanese PM","Bangabandhu had made tremendous efforts to strengthen bilateral ties after the independence of Bangladesh, said Japanese Prime Minister Yoshihide Suga in a video message today.",Bangladesh,Positive,0.5
92,"No more looking back, only marching forward: PM says",Prime Minister Sheikh Hasina today said there was no chance for Bangladesh to look back as it was the time to march forward.,Bangladesh,Neutral,0.0
93,Bangabandhu's birth centenary: BRTC launches special Tungipara-Mujibnagar bus service,Bangladesh Road Transport Corporation today launched a special bus service between Tungipara of Gopalganj and Mujibnagar of Meherpur to mark the birth centenary of Bangabandhu Sheikh Mujibur Rahman.,Bangladesh,Positive,0.5714285714285714
94,"10-day celebration of Bangabandhu's birth centenary, golden jubilee of independence begins at Parade Square",The nation today began a 10-day celebration of Father of the Nation Bangabandhu Sheikh Mujibur Rahman's birth centenary coinciding with the golden jubilee of independence with a grand ceremony at the National Parade Square in Dhaka.,Bangladesh,Positive,0.5777777777777778
95,"Birth Anniversary: President, PM pay homage to Bangabandhu","President Abdul Hamid and Prime Minister Sheikh Hasina today paid tributes to Father of the Nation Bangabandhu Sheikh Mujibur Rahman, marking his birth anniversary and the National Children's Day-2021, by placing wreaths at the portrait of the great leader.",Bangladesh,Positive,0.75
96,For Mujib Borsho PM Sheikh Hasina calls for pledge to make Bangladesh a peaceful abode,Prime Minister Sheikh Hasina has called upon all to take a vow in the Mujib Borsho to take Bangladesh to newer heights in the international arena and transform the country into a safe and peaceful abode for the next generation.,Bangladesh,Positive,0.25
97,Crop field mosaic honouring Bangabandhu makes it to Guinness World Records,Crop field mosaic honouring Bangabandhu Sheikh Mujibur Rahman in Bangladesh has made it to the Guinness World Records.,Bangladesh,Neutral,0.0
98,"Ecnec okays Tk 4,123cr project to build homes for insolvent freedom fighters","The government today approved a Tk 4,123 crore project for constructing 30,000 homes for insolvent valiant freedom fighters and family members of the martyred in a bid to uplift their socioeconomic condition.",Bangladesh,Neutral,0.0
99,Bangabandhu was a champion of human rights: Ban-ki Moon,Former UN secretary-general Ban-ki Moon has said Bangabandhu Sheikh Mujibur Rahman was a champion of human rights not only within Bangladesh but across the globe.,Asia,Neutral,0.3666666666666667
100,"Sedition case filed against BNP leader Minu, 4 others","A sedition case was filed against BNP leader Mizanur Rahman Minu, also an adviser to BNP chairperson Khaleda Zia, and four other party leaders today.",Law & Our Rights,Negative,0.375
101,"10-day state programme: Itinerary of foreign heads of states, governments","Five dignitaries are set to arrive for the celebrations – Maldives President Ibrahim Mohamed Solih, Sri Lanka Prime Minister Mahinda Rajapaksa, Nepalese President Bidya Devi Bhandari, Bhutanese Prime Minister Dr Lotay Tshering and Indian Prime Minister Narendra Modi.",Bangladesh,Neutral,0.0
102,Restrict movement during the 10-day state programme: IGP requests city-dwellers,The Inspector General of Police (IGP) Benazir Ahmed has requested people to restrict their movement “unless urgent” during the 10-day state programme from March 17 to 26 to mark the birth centenary of Bangabandhu Sheikh Mujibur Rahman and the golden jubilee of independence.,Bangladesh,Positive,0.5
103,President summons JS session on April 1,President M Abdul Hamid today issued an order to start the second session of 2021 on April 1.,Bangladesh,Neutral,0.0
104,10-day state celebration: Dhaka ready to welcome global leaders,Bangladesh is set to wear a festive look ahead of a 10-day special programme -- marking 50 years of independence and the birth centenary of Father of the Nation Bangabandhu Sheikh Mujibur Rahman -- set to begin on March 17 at Parade Ground.,Bangladesh,Positive,0.4023809523809524
105,Bangabandhu's portrait on green canvas will be a unique celebration of his birth centenary: agriculture minister,Agriculture Minister Abdur Razzak today said that the portrait of Bangabandhu made using green paddy fields will be a unique celebration of his birth centenary.,Bangladesh,Positive,0.65
106,DIG Monirul Islam made Additional IGP of Special Branch,"Deputy Inspector General (DIG) Monirul Islam, also chief of Counter Terrorism and Transnational Crime (CTTC) unit under Dhaka Metropolitan Police, has been made Additional Inspector General of Police (current charge) of the Special Branch.",Bangladesh,Positive,0.4928571428571428
107,Power distribution in Dhaka to be fully automated: Nasrul Hamid,"A move is underway to make the power distribution system in Dhaka city fully automated to better address the complaints of consumers, State Minister for Power, Energy and Mineral Resources Nasrul Hamid has said.",City,Positive,0.5
108,Bangladesh and Australia want to deepen economic cooperation,Bangladesh and Australia have expressed interest in deepening and widening the economic cooperation between the two countries in a shift from aid to trade relations as the South Asian nation will graduate from the least developed country (LDC) category by 2024.,Business,Positive,0.22500000000000003
109,10-day Mujib Borsho and independence celebrations at Parade Square from March 17: home minister,"The government has chalked out a 10-day long programme at the National Parade Square to mark the birth centenary of Bangabandhu and the golden jubilee of independence, which will be attended by heads of states and governments of different countries.",Bangladesh,Neutral,0.43333333333333335
110,"Bangabandhu's March 7 speech: Bangladesh mission in London unveils first Irish, Welsh and Scottish translations","The Bangladesh High Commission in London has unveiled the first translations of Bangabandhu Sheikh Mujibur Rahman's March 7 speech in Irish, Scottish and Welsh languages in a special publication titled “A call for freedom in languages”.",Bangladesh,Positive,0.3611904761904762
111,Man arrested over rape in Chandpur,Police yesterday arrested a Jubo League activist in a case filed over raping a woman in Faridganj upazila of Chandpur.,Crime,Neutral,0.0
112,PM blasts BNP for remarks on March 7 speech,Prime Minister Sheikh Hasina came down heavily on BNP leaders for their remarks that they did not get any message of independence from the historic March 7 speech.,Bangladesh,Negative,0.262962962962963
113,Bangabandhu 'a towering figure of the 20th century': US top official,"Bangabandhu Sheikh Mujibur Rahman was a “towering figure of the twentieth century” who shaped modern Bangladesh and continues to inspire the people to further develop their country, said Dean Thompson, acting assistant secretary of the Bureau of South and Central Asian Affairs of the US Department of State.",Bangladesh,Positive,0.21000000000000002
114,Gender parity among heads of government to take another 130 years,Women are increasingly entering decision-making positions but full gender parity is far from being reached as they rarely hold leadership positions in executive and legislative offices.,Bangladesh,Positive,0.8166666666666668
115,ACC couldn't meet public expectations: outgoing chairman Iqbal Mahmood,"Anti-Corruption Commission (ACC) could not meet expectations in curbing corruption, its outgoing Chairman Iqbal Mahmood said today.",Bangladesh,Neutral,0.0
116,"E-payment mandatory from July 1 if customs duty on import, export invoices reaches Tk 2 lakh: NBR",The customs duty against import and export invoices amounting to Tk 2 lakh or above will have to be paid online starting from July 1 this year.,Business,Neutral,0.1
117,What makes the 7th March speech one of the best?,"In 2017, UNESCO announced Bangabandhu's March 7 speech as one of the most historic speeches in the world, worthy of being enlisted in the ""Memory of the World Register”. The significance of the speech could not be clearer -- as a nation, Bangalees received a united purpose, a call-to-arms for self-determination, and a pledge to never surrender.",Opinion,Positive,0.5
118,Bangabandhu's March 7 speech is the real declaration of independence: PM,Prime Minister Sheikh Hasina today said that the historic March 7 speech of Father of the Nation Bangabandhu Sheikh Mujibur Rahman was the real declaration of the country's independence.,Bangladesh,Positive,0.15000000000000002
119,Historic 7th March: PM pays homage to Bangabandhu,Prime Minister Sheikh Hasina today paid rich tributes to Father of the Nation Bangabandhu Sheikh Mujibur Rahman on the occasion of the historic March 7.,Bangladesh,Positive,0.375
